global_id,FrameName,LexicalUnits,FrameElements,Link ,Definition,LinkToBFN,MatchEvaluation,FrameRelation            
257,Cause_change_of_phase,"congelación.n, congelar.v, derretir.v, descongelación.n, descongelar.v, evaporar.v, fundir.v, licuar.v
","Agent 
Cause
Undergoer",https://sfn.spanishfn.org/FRAMES/frames/Cause_change_of_phase.html,"An Agent or a Cause causes a Undergoer to undergo a change of phase.  The Result of the change may be given, along with the Initial_state and the Circumstances under which the change can occur.",Cause_change_of_phase,ExactMatch,
262,Cause_emotion,,"Agent
Event 
Experiencer",https://sfn.spanishfn.org/FRAMES/frames/Cause_emotion.html,An Agent acts to  cause a Experiencer to feel a certain emotion.,Cause_emotion,ExactMatch,
264,Cause_fluidic_motion,"bombear.v, derramar.v, rociar.v, salpicar.v, verter.v, vertido.n
","Agent
Cause
Fluid",https://sfn.spanishfn.org/FRAMES/frames/Cause_fluidic_motion.html,An Agent or a Cause causes a Fluid to move from a Source to a Goal along a Path or within an Area.,Cause_fluidic_motion,ExactMatch,
267,Cause_impact,,"Agent 
Cause 
Impactee 
Impactor 
Impactors ",https://sfn.spanishfn.org/FRAMES/frames/Cause_impact.html,"An Agent causes an Impactor to make sudden, forcible contact with an Impactee, or manipulates two (or more) Impactors so that they make mutual forcible contact.",Cause_impact,ExactMatch,
269,Cause_motion,"acercar.v, arrastrar.v, arrojar.v, empujar.v, empujón.n, impulsar.v, lanzar.v, remolcar.v
","Agent 
Cause 
Goal 
Theme",https://sfn.spanishfn.org/FRAMES/frames/Cause_motion.html,"An Agent causes a Theme to undergo directed motion. The motion may be described with respect to a Source, Path and/or Goal.",Cause_motion,ExactMatch,
271,Cause_temperature_change,"caldear.v, calentar.v, enfriar.v, entibiar.v, recalentar.v, refrigerar.v
","Agent 
Cause 
Item",https://sfn.spanishfn.org/FRAMES/frames/Cause_temperature_change.html,"In this frame, an Agent changes the temperature of an Item.  A Temperature_goal can specify the desired temperature.  A Temperature_change can also be indicated.  The Temperature_start indicates the initial temperature.",Cause_temperature_change,ExactMatch,
277,Cause_to_be_similar,,"Agent
Differentiating_fact 
Entities 
Entity_1 
Entity_2 ",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_be_similar.html,"An Agent causes two or more distinct entities, which may be concrete or abstract objects or types, to be similar or different from each other. The Entities may be concrete or abstract objects or types. Depending on figure/ground relations, the entities may be expressed in two distinct frame elements and constituents, Entity_1 and Entity_2, or jointly as a single frame element and constituent, Entities. The Agent causes changes that may affect the appearance, the physical properties, or other characteristics of the two entities. However, no such Dimension has to be specified explicitly. After the changes caused by the Agent, the Entities may be like each other to a greater or lesser Degree. Rather than specifying the Dimension of difference, a Differentiating_fact may be mentioned.",?,,
278,Cause_to_be_wet,"bañar.v, empapar.v, humedecer.v, humidificar.v, mojar.v
","Agent 
Cause
Liquid 
Undergoer",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_be_wet.html,"An Agent causes an Undergoer to be wet with a Liquid. 
In this frame, the Liquid FE can be a liquid or gas. Undergoers are porous objects, but not hollow (like containers).",Cause_to_be_wet,ExactMatch,
281,Cause_to_continue,,"Agent 
Cause 
Process 
State",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_continue.html,An Agent causes a Process or State to continue.,Cause_to_continue,ExactMatch,
283,Cause_to_experience,"asombrar.v, asustar.v, atemorizar.v, aterrorizar.v, complacer.v, decepcionar.v, deleitar.v, sorprender.v, tranquilizar.v
","Experiencer 
Protagonist ",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_experience.html,"A Protagonist intentionally or not brings about an internal mental or emotional state in the Experiencer. The Protagonist, which is the External Argument of the taget predicate, is a focal participant of the event which triggers the Experiencer's emotion. This frame in closely related to Experiencer_obj.",Cause_to_experience,ExactMatch,
285,Cause_to_halt,"detener.v, parar.v
","Agent
Cause 
Theme",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_halt.html,An Agent causes a Theme to stop.,?,,
287,Cause_to_make_noise,,"Agent 
Cause
Sound_maker",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_make_noise.html,An Agent manipulates a Sound_maker or a Cause causes the Sound_maker to emit a sound.,Cause_to_make_noise,ExactMatch,
289,Cause_to_move_in_place,"agitar.v, mecer.v, sacudir.v, zarandear.v
","Agent 
Cause
Theme",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_move_in_place.html,"An Agent causes a Theme to move with respect to a certain Fixed_location, generally with a certain Periodicity, without undergoing unbounded translational motion or significant alteration of configuration or shape.",Cause_to_move_in_place,ExactMatch,
291,Cause_to_resume,,"Agent 
Cause
Hiatus 
Process",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_resume.html,An agent acts so as to cause some process to begin again after an interruption or suspension.,Cause_to_resume,ExactMatch,
293,Cause_to_start,,"Agent 
Cause 
Effect ",https://sfn.spanishfn.org/FRAMES/frames/Cause_to_start.html,"A Cause, animate or inanimate, causes a process, the Effect, to begin.",Cause_to_start,ExactMatch,
298,Certainty,"certeza.n, certidumbre.n, confianza.n, confiar.v, convencido.a, convencimiento.n, dar_por_seguro.v, duda.n, dudar.v, seguro.a, tener_por_seguro.v
","Cognizer
Content
Topic",https://sfn.spanishfn.org/FRAMES/frames/Certainty.html,This frame concerns a Cognizer's certainty about the correctness of beliefs  or expectations. It only includes uses where a Cognizer  is expressed.,Certainty,ExactMatch,
301,Change_direction,"desviarse.v, doblar.v, girar.v, giro.n, torcer.v, virar.v
","Direction 
Theme",https://sfn.spanishfn.org/FRAMES/frames/Change_direction.html,A Theme that is in motion assumes a new Direction in which it moves.,Change_direction,ExactMatch,
302,Change_emotional_state,"aburrirse.v, admirarse.v, alarmarse.v, alegrarse.v, conmoverse.v, quedarse_de_piedra.v, sorprenderse.v
","Content
Experiencer
Topic",https://sfn.spanishfn.org/FRAMES/frames/Change_emotional_state.html,Predicates in this frame describe a change in the Experiencer's emotions with respect to some Content.,?,,
309,Change_of_phase,"condensación.n, condensarse.v, congelarse.v, derretirse.v, descongelarse.v, deshelarse.v, deshielo.n, evaporación.n, evaporarse.v, fundirse.v, helarse.v, licuarse.v, solidificación.n, solidificarse.v
",Undergoer,https://sfn.spanishfn.org/FRAMES/frames/Change_of_phase.html,In this frame an Undergoer undergoes a change of phase. This can be its inherent phase or indicate that it is returned to its inherent state.,Change_of_phase,ExactMatch,
310,Change_of_phase_scenario,,Undergoer,https://sfn.spanishfn.org/FRAMES/frames/Change_of_phase_scenario.html,The sequence of events in which the Undergoer begins as one state of matter and ends up as another.,Change_of_phase_scenario,ExactMatch,
312,Change_of_state_endstate,,"Entity 
State ",https://sfn.spanishfn.org/FRAMES/frames/Change_of_state_endstate.html,The endstate of a simple event X-schema.,?,,
