id,FrameName,English,French,German,Spanish,Portuguese,Arabic,Chinese,Swedish
22,Activity_ongoing,"maintenance.n, continue.v, keep on.v, maintain.v, proceed.v, carry on.v, keep.v, keep up.v",,"bleiben.v, fortsetzen.v",,"continuar.v, manutenção.n, transpassar.v, estar.v, viver.v, ficar.v, decorrer.v, prosseguir.v, passar.v",,,"fortsättning.n, fortsätta.v"
23,Activity_pause,"take break.v, freeze.n, moratorium.n, adjourn.v, freeze.v, suspend.v, pause.n",,"pausieren.v, stoppen.v",,"imobilizar.v, cápsula.n, pausar.v, parar.v, pausa.n, reter.v, encerrar.v, capsular.a, cortar.v",,,"paus.n, uppehåll.n"
24,Activity_paused_state,,,,,,,,
25,Activity_prepare,"fix.v, prepare.v, preparation.n, rally.v, set up.v, get ready.v, ready.v, gear up.v, compose.v",préparer.v,"einstellen.v, vorbereiten.v",,"preparo.n, estruturar.v, coordenar.v, preparar.v, preparado.a, organizar.v",,,förbereda.v
26,Activity_ready_state,"set.a, prepared.a, free.a, ready.a",prêt.a,bereit.a,,"preparo.n, disponível.a, prontamente.adv, preparado.a, pronto.a",,,redo.a
27,Activity_resume,"biodiversity.n, diversity.n, restart.v, resume.v, renew.v","redémarrer.v, redémarrage.n, retourner.v",fortsetzen.v,,,n.إعادة-تشغيل,,
28,Activity_scenario,", accumulate.v, concentration.n, accumulation.n",,,,,,,
29,Activity_start,"enter.v, strike up.v, launch (into).v, open.v, commence.v, initiate.v, swing (into).v, begin.v, species.n, take up.v, neophyte.n, set about.v, start.v, get started.v, mammal.a, beginner.n","exécuter.v, exécution.n, commencer.v, s engouffrer.v","anfangen.v, gehen an.e, treten.v, öffnen.v, starten.v, kommen.v, aufmachen.v, ausgehen.v, gehen (an).v, beginnen.v, anfassen.v",,"entrar.v, estrear.v, iniciado.a, iniciar.v, inaugurar.v, instituir.v, iniciante.n, principiar.v, gerar.v, passar.v, cair.v, começar.v, desencadear.v, inauguração.n","n.تنفيذ, v.نفذ, n.تشغيل, v.شغل",,"inleda.v, börja.v, starta.v, slutasluta sig.v, start.n, ingå.v, påbörja.v, tata upp.v, uppta.v"
30,Activity_stop,"cease.v, terminate.v, abandon.v, discontinue.v, quit.v, termination.n, stop.v, halt.v","arrêter.v, arrêter.v","beenden.v, lassen.v, aufhören.v, einstellen.v, stoppen.v, aufgeben.v",,"descontinuar.v, parar.v, deixar.v, chegar.v",,,"sluta.v, avsluta.v, sättasätta ut.v, avslutning.n"
31,Activity_teaching,,,,,"instigar.v, alfabetizar.v, ensinamento.n, tutoria.n, ensinar.v, sistematizar.v, ensino.n, sequência.n, sistematização.n, educar.v, orientação.n, lecionar.v",,,
32,Actually_occurring_entity,"actual.a, true.a, TRUE.a",,"echt.a, eigentlich.a",,prática.a,,,"verklig.adv, faktisk.adv, egentlig.a, verklig.a, riktigpå riktigt:7.adv"
33,Adapting,", adapt.v, adaptation.n","adaptation.n, adapter.v",,,,,适应.v,
34,Addiction,"fiend.n, addicted.a, addict.n, alcoholism.n, addiction.n, compulsive.a, hooked.a, habit.n, alcoholic.n, junkie.n",,"Sucht.n, abhängig.a, Süchtiger.n",,"usar.v, drogado.a, drogado.n, viciado.a, viciar.v, viciado.n, usuário.n",,,
35,Adding_species_in_location,", introduce.v, reintroduce.v, reintroduction.n, introduction.n","alevinage.n, introduction.n, introduire.a, réintroduction.n, réintroduire.a, repeuplement.n",,,,,,
36,Adding_trees_in_location,,,,,,,,
37,Adding_up,"add.v, total.v, add up.v, tally.v",,"hinzuaddieren.v, kommen.v, zusammenzählen.v",,"adicionar.v, acrescentar.v, mais.adv, somar.v",,,summera.v
38,Adducing,"adduce.v, cite.v, point.v, name.v",,"nennen.v, zitieren.v, angeben.v, anführen.v, verweisen.v",,,,,"anförande.n, framföra.v"
39,Adjacency,"contiguous.a, adjacency.n, neighbor.v, neighbor.n, adjoining.a, adjoin.v, next to.prep, contiguity.n, border.v, abut.v, adjacent.a, neighboring.a, bordering.a",,"angrenzend.a, angrenzen.v, benachbart.a, neben.p, grenzen.v",,"vizinho.n, contiguidade.n, limitante.a, adjacência.n, estar junto.v, limitar.v, juntar.v, contíguo.a, adjacente.a",,,
40,Adjusting,"tweak.v, adjustment.n, calibrate.v, adjust.v, calibration.n, tweak.n",,,,"adequar.v, ajustado.a, adaptar.v, ajustar.v",,,
41,Adopt_selection,"assume.v, adopt.v, embrace.v",adopter.v,,,"assumir.v, adotar.v, seguir.v, adoção.n, adotado.a",,,
42,Adorning,,,,"abarrotar.v, impregnar.v\n, envolver.v, cubrir.v, decorar.v, atestar.v, adornar.v",,,,
43,Aesthetics,"plastic.a, smart.a, handsome.a, hideous.a, lovely.a, beautiful.a, fair.a, beauty.n, aesthetically.adv, ugly.a, tasty.a, elegant.a",,schön.a,"belleza.n, lindo.a, bonito.a","feio.a, beleza.n, rústico.a, lindo.a, bucólico.a, barroco.a, exótico.a, amável.a, horrendo.a, plástico.a, requintar.v, estiloso.a, pitoresco.a, saboroso.a, requinte.n, formosura.n, bonito.a, esportivo.a, elegante.a, frescura.n, estética.n, esteticamente.adv, belo.a",,,"smaklös.a, ful.a, vacker.a, vackervackert.adv, ståtlig.a"
44,Affirm_or_deny,"concede.v, refute.v, confirm.v, affirmation.n, denial.n, deny.v, attest.v, confirmation.n, reaffirm.v, affirm.v","non.adv, oui.adv",bestätigen.v,,"positivar.v, inegável.a, sim.adv, negar.v, positivo.n, positivo.a, negativo.a",,,"erkänna.v, förneka.v"
45,Age,"childhood.n, mature.a, youngish.a, elderly.a, of.prep, age.n, young.a, fresh.a, ancient.a, old.a, new.a, maturity.n, oldish.a","archaïque.a, avoir.v, vieux.a","Alter.n, alt.a",,"meninice.n, velho.a, infância.n, ter.v, velhice.n, idade.n, infantil.a, menor.a, com.prep, jovem.a, maduro.a, novo.a, de.prep, adolescência.n, adulto.a, antigo.a",,,"gammal.a, ålder.n, minderårig.a, elvaårig.a, femårig.a, medelålder.n"
46,Age - TBP,,,", Neugeborene: das Neugeborene / ein Neugeborenes.n, die.n, jung.a, Mann: der alte Mann.m, frisch.a, reif.a, Teenager, veralten.v, Reifung, erwachsen werden.m, Jahr, das.n, Mädchen. das.n, Senior: der Senior / die Seniorin.n, Mann: der ältere Mann.m, erwachsen.a, Vergreisung, Frau: die alte Frau.m, altern.v, Kind, Jugendliche: der / die Jugendliche; ein Jugendlicher / eine Jugendliche.n, unreif.a, Alterung, Kindheit, alt.a, ausreifen.v, alt / älter werden.m, Greis: der Greis / die Greisin.n, Rentner: der Rentner / die Rentnerin.n, Frau: die ältere Frau.m, alternd.a, wachsen.v, nachreifen.v, Pensionär: der Pensionär / die Pensionärin.n, Alter, Jugend, heranreifen.v, Junge, Baby, Reife, Kleinkind, neu.a, Erwachsene: der / die Erwachsene; ein Erwachsener / eine Erwachsene.n, der.n, reifen.v",,,,,
47,Aggregate,"multiplicity.n, gaggle.n, army.n, quartet.n, passel.n, swarm.n, clutch.n, brood.n, host.n, shoal.n, cohort.n, pack.n, coterie.n, variety.n, circle.n, claque.n, repertoire.n, group.n, class.n, tribe.n, community.n, bevy.n, flock.n, school.n, assemblage.n, band.n, huddle.n, throng.n, package.n, assembly.n, gang.n, repertory.n, batch.n, flotilla.n, assortment.n, squad.n, posse.n, horde.n, family.n, force.n, crew.n, trio.n, clique.n, quintet.n, crowd.n, clump.n, herd.n, colony.n, slew.n, collection.n, covey.n, sextet.n, population.n, stand.n, majority.n, mob.n, body.n, party.n, crop.n, team.n, corps.n, harem.n, multitude.n, legion.n, set.n, cluster.n, book.n, combination.n, heap.n, bunch.n","classe.n, ensemble.n, population.n",,,"frota.n, rebanho.n, livro.n, pacote.n, time.n, variedade.n, plebe.n, universo.n, ninhada.n, sexteto.n, maço.n, facção.n, corpo.n, dupla.n, casal.n, panelinha.n, grupo.n, galáxia.n, civilização.n, ralé.n, combinação.n, comunidade.n, quinteto.n, família.n, trio.n, fardo.n, máfia.n, matilha.n, game.n, exército.n, bancada.n, assembléia.n, manada.n, caravana.n, tropel.n, multiplicidade.n, classe.n, horda.n, sortimento.n, população.n, repertório.n, safra.n, multidão.n, corporação.n, quarteto.n, tripulação.n, esquadra.n, monte.n, tribo.n, turma.n, força.n, harém.n, massa.n, fornada.n, amontoado.n, aglomerado.n, círculo.n, escola.n, feixe.n, gentalha.n, populacho.n, jogo.n, pelotão.n, todos.n, punhado.n, conjunto.n, partido.n, penca.n, corja.n, legião.n, colônia.n, bando.n, equipe.n, coleção.n, batalhão.n, cacho.n, enxame.n, muvuca.n, círculo social.n, esquadrão.n, acervo.n, combo.n, cardume.n, pilha.n, gangue.n, maioria.n, banda.n",,,"parti.n, grupp.n, församling.n, flotta.n, orkester.n, kollektiv.a, yrkesgrupp.n, kommission.n, galax.n, junta.n, släkt.n, koalition.n, klass.n, befolkning.n, gäng.n, division.n, befolkningsgrupp.n, armé.n, band.n, trio.n, bataljon.n, elitförband.n, servis.n, skörd.n"
48,Aging,"raise.v, age.v, mature.v, aging.a, grow up.v",atteindre.v,"altern.v, alternd.a",,"amadurecer.v, envelheimento.n, envelhecimento.n, -, crescer.v, envelhecer.v",,,mogen.a
49,Agree_or_refuse_to_act,"agree.v, decline.v, refusal.n, refuse.v",,,,"resistir.v, recusar.v",,,vägra.v
50,Agriculture,"farm.n, farm.v, agriculture.n, cultivate.v, farming.v, farming.n",agriculture.n,"bestellen.v, halten.v, züchten.v, bewirtschaften.v, anbauen.v",,cultivo.n,,,"lantbruk.n, jordbruk.n, bruka.v"
51,Aiming,"aim.v, target.n, target.v, direct.v, aim.n",,Ziel.n,,"mira.n, dirigido.a",,,"mål.n, sikta.v, inrikta.v, rikta.v, inriktning.n"
52,Alignment_image_schema,,,,,,,,
53,Allergens,,,,,,,,
54,Alliance,"coalition.n, alliance.n",,"Allianz.n, Koalition.n, Bündnis.n",,,,,"union.n, unionEuropeiska unionen:3.n"
55,Altered_phase,,,,"congelado.a, condensado.a, fundido.a, licuado.a, solidificado.a, helado.a, descongelado.a, derretido.a",,,,
56,Alternatives,"use.n, choice.n, possibility.n, future.n, alternative.n, way.n, option.n, or.ccon, chance.n","avenir.n, choses.n, futur.n",,o.ccon,"possível.n, chance.n, possível.a, ou.ccon, maneira.n, opção.n, alternativa.n, escolha.n, poder.v, futuro.n, possibilidade.n, uso.n, dever.v",,,"sätt.n, vis.n, alternativ.n, framtid.n"
57,Alternativity,,plutôt que.adv,,,"ou.ccon, em vez de.ccon",,,
58,Amalgamation,"band together.v, amalgamate.v, merger.n, commingle.v, coalesce.v, meld.v, consolidate.v, merge.v, unite.v, blend.v, unify.v, combine.v, mix.v, come together.v, jumble.v, intermix.v, join.v, fuse.v, combination.n, infusion.n",combinaison.n,"bilden.v, lösen.v, kommen.v",,"entrelaçar.v, mistura.n, misturado.a, misturadamente.adv, misturar.v, combinar.v, abarcar.v, misto.n, adicionar.v, combinado.a, unificado.a",,,"sammansättning.n, blandning.n"
59,Amassing,"stockpile.v, accumulate.v, hoard.v, amass.v, accumulation.n",,"konzentrieren.v, anhäufen.v, zusammenkommen.v",,,,,lagra.v
60,Ambient_temperature,"cold.a, temperature.n, hot.a, freezing.a, cold.n, scorcher.n, chilly.a, warm.a, cool.a","froid.a, température.n, tempéré.a","kalt.a, Temperatur.n, warm.a, kühl.a, heiß.a",,"fresco.a, quente.a, frio.a, abafado.a, temperatura.n, -, morno.a, frio.n, congelante.a",,,
61,Ammunition,"round.n, ammunition.n, ammo.n, munitions.n, shell.n, ordnance.n, bullet.n",,"Patrone.n, Munition.n, Kugel.n",,,,,
62,Amounting_to,"in amount.idio, tally.n, total.n, amount.v, total.v, total.a, number.v",,,,"completar.v, no total.adv, totalizar.v",,,
63,Animal_by_activity,", predator.n","pollinisateur.n, prédateur.a, rapace.n, ravageur.n",,,,,,
64,Animal_by_behavior,", rodent.n, breeding.v","migrateur.n, migrateur.n, reproducteur.n, reproducteur.n",,,,,,
65,Animal_by_development,", immature.a, hatchling.v, mature.v, young.a, juvenile.a, maturity.n, adult.n","adulte.n, adulte.n, immature.a, jeune.a, jeune.a, juvénile.a, mature.n, maturité.n",,,,,,
66,Animal_by_family,,,,,,,,
67,Animal_by_relation,,,,,,,,
68,Animals,"centipede.n, bellbird.n, zebra.n, antelope.n, duck.n, crocodile.n, Peregrine.a, cat.n, raccoon.n, bird.n, snail.n, ox.n, turtle.n, hippopotamus.n, koala.n, ladybird.n, spider.n, cock.n, black-footed.a, sheep.n, seahorse.n, worm.n, pigeon.n, hen.n, magpie.n, buffalo.n, otter.n, serpent.n, goat.n, lizard.n, dragonfly.n, rabbit.n, ladybug.n, cheetah.n, fauna.n, penguin.n, beetle.n, rhinoceros.n, piglet.n, porcupine.n, chimpanzee.n, squid.n, lynx.n, fish.n, falcon.n, skunk.n, lion.n, whale.n, vulture.n, pet.n, owl.n, raven.n, tortoise.n, invertebrate.n, snake.n, fox.n, caterpillar.n, dog.n, bug.n, woodpecker.n, octopus.n, monkey.n, ostrich.n, butterfly.n, ant.n, praying mantis.n, tiger.n, dolphin.n, mosquito.n, jaguar.n, cow.n, offspring.n, eagle.p, bee.n, parrot.n, armadillo.n, squirrel.n, lamb.n, rooster.n, dinosaur.n, mule.n, ray.n, hamster.n, animal.n, insect.n, fish.a, hedgehog.n, sparrow.n, bull.n, leopard.n, elephant.n, kangaroo.n, deer.n, crab.n, gray.v, scorpion.n, wolf.n, panda.n, pig.n, chicken.n, alpaca.n, goldfish.n, swan.n, horse.n, cockroach.n, bald.a, bear.n, mammal.n, canary.n, starfish.n, giraffe.n, frog.n, ram.n, tick.n","animal.n, baleine.a, caribou.v, dauphin.a, éléphant.v, épaulard.n, insecte.a, oiseau.n, ours.n, ours.n, phoque.a, poisson.n, tigre.n, tortue.a, tortue.a, tortue.a, tortue.a, tortue.a, cafard.n, chat.n, fourmi.n, insecte.n, moustique.n","Fuchs.n, Hund.n, Vogel.n","cerdo.n, gallina.n, escarabajo.n, zorro.n, raposa.n, fauna.n, buey.n, carnero.n, cordero.n, gallo.n, pollo.n, león.n, chimpancé.n, mosquito.n, abeja.n, mascota.n, cangrejo.n, pulpo.n, campanero.n, insecto.n, oveja.n, animal.n, gato.n, buitre.n, pájaro.n, vaca.n, cría.n, ], caballo.n, mariposa.n, lobo.n, mariquita.n, [, """", mono.n, pez.n, -, tigre.n, mantarraya.n, elefante.n, mantis.n, perro.n, cebra.n, serpiente.n, jirafa.n, lechón.n","chimpanzé.n, abelha.n, marimbondo.n, inseto.n, formiga.n, cachorro.n, carneiro.n, fauna.n, cordeiro.n, baleia.n, ovelha.n, raposa.n, papagaio.n, araponga.n, vaga-lume.n, pombo.n, louva-a-deus.n, mosquito.n, cadela.n, moreia.n, aranha.n, filhote.n, galinha.n, zebra.n, jacaré.n, animal.n, jabuti.n, polvo.n, barata.n, gato.n, pet.n, raia.n, ácaro.n, borboleta.n, mosca.n, rena.n, siri.n, vaca.n, animal.a, besouro.n, porco.n, boi.n, tubarão.n, frango.n, lobo.n, búfalo.n, bicho.n, leitão.n, girafa.n, grilo.n, beija-flor.n, pássaro.n, mula.n, vira-lata.n, leão.n, cavalo.n, escorpião.n, rato.n, cão.n, carrapato.n, peixinho.n, serpente.n, urubu.n, peixe.n, tigre.n, cavaquinha.n, elefante.n, joaninha.n, macaco.n, galo.n",,动物.n,"djur.n, terrier.n, flygfisk.n, and.n, mås.n, hummer.n, mask.n, gädda.n, stall.n, hund.n, nötväcka.n, sill.n, insekt.n, fluga.n, trut.n, häst.n, duva.n, höna.n, hingst.n, torsk.n, björn.n, kanariefågel.n, best.n, mört.n, ödla.n, katt.n, fågel.n, häger.n, hamster.n, Fiskfisk.n, råtta.n, säl.n, gök.n, svin.n, lake.n, kalv.n, kreatur.n, kyckling.n, kattdjur.n, lodjur.n, rådjur.n, hare.n, fisk.n, rovdjur.n, apa.n, nasse.n, ko.n, panter.n, leopard.n, valp.n, delfin.n, vikvikare.n, larv.n, får.n, kattunge.n, anka.n, gås.n"
69,Annoyance,"tired (of).a, annoyed.a, frustrated.a, sick and tired.a, irritated.a",,,,irritado.a,,,
70,Appeal,"appeal.n, appellant.n, appellate.a, appeal.v",,Berufung einlegen.v,,,,,överklaga.v
71,Appearance,,,,"parecer.v, sonar.v, oler.v, parecerse.v, saber.v, apestar.v",,,,
72,Appellations,"governor.n, brother.n, representative.n, executive.n, imam.n, ms.n, cousin.n, leader.n, mother.n, dr.n, shah.n, duchess.n, superintendent.n, kaiser.n, mogul.n, doctor.n, legislator.n, sheik.n, queen.n, captain.n, president.n, miss.n, general.n, supervisor.n, official.n, director.n, mr.n, principal.n, tsar.n, officer.n, chairman.n, bishop.n, commander.n, sultan.n, headmaster.n, prince.n, aunt.n, commissioner.n, child.n, empress.n, chief.n, maharaja.n, father.n, chairperson.n, mrs.n, monarch.n, uncle.n, congresswoman.n, mayor.n, emperor.n, secretary.n, minister.n, congressman.n, sister.n, premier.n, king.n",,,,,,,herr.n
73,Appliances,", vacuum cleaner.n, refrigerator.n, mixer.n, dishwasher.n, blender.n, heater.n, toaster.n",,,,"fones de ouvido.n, fotocopiadora.n, ar condicionado.n, luminária.n, lustre.n, máquina de lavar.n, lâmpada.n, máquina.n, tablet.n, geladeira.n, telefone.n, prancha.n, celular.n",,,
74,Apply_heat,"singe.v, roast.v, simmer.v, steep.v, blanch.v, stewing.n, toast.v, brown.v, scald.v, boil.v, poach.v, scorch.v, steaming.n, baking.n, simmering.n, barbecue.v, grilling.n, parboil.v, broiling.n, char.v, toasting.n, braise.v, saute.v, microwave.v, deep fry.v, sear.v, melt.v, steam.v, melting.n, boiling.n, fry.v, cooking.n, plank.v, grill.v, bake.v, frying.n, coddle.v, roasting.n, cook.v, broil.v, stew.v",cuire.v,kochen.v,,"torrar.v, dourar.v",,,"grädda.v, koka.v, fräsa.v, fritera.v, steka.v, destillation.n, rostning.n, grilla.v, gräddning.n"
75,Appointing,"accredited.a, accredit.v, appointment.n, appoint.v, tap.v, designate.v, nominate.v, finger.v, name.v",,"berufen.v, bestellen (zu).v, bestimmen.v, bestätigen (als).v, einsetzen.v",,nomear.v,,,"utse.v, nominera.v, kora.v"
