id,FrameName,EnglishLexicalUnits,FrenchLexicalUnits,PortugueseLexicalUnits,ChineseLexicalUnits,SpanishLexicalUnits,FrameElements,Link,Definition,LinkToBFN,MatchEvaluation,FrameRelation
,Being_in_captivity,captive 1,"captif 1,
captivité 1",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Being_in_captivity,A Patient is being held against its will is a location that differs from the location where it normally lives.,Being_in_captivity,TooSpecific,Being_in_captivity :See also: Taking_captive
,Biodiversity,"biodiversity 1,
diversity 1","biodiversité 1,
diversité 1","biodiversidade 1,
diversidade 1","多样性 1,
生物多样性 1",,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Biodiversity,A Support that is characterized according to the variety of its natural content.,?,NoMatch,Biological_entity :Has property: Biodiversity
,Biological_classification,"mammal 1,
species 1","cétacé 1,
espèce 1,
invertébré 1,
mammifère 1,
sous-espèce 1,
taxon 1,
vertébré 1",espécie 1,物种 1,,Member,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Biological_classification,A scientific taxonomic classification in which a Member is classified based on common biological characteristics it shares with others.,Biological_classification,ExactMatch,"Biological_entity :Is used by: Biological_classification
Biological_classification :Is used by: Grouping_by_type"
,Biological_conditions,"biology 2,
ecology 2","biologie 2,
écologie 2,
génétique 3,
hydrologie 1",,,,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Biological_conditions,The set of characteristics and activies associated with a biological entity.,?,NoMatch,Biological_entity :Is used by: Biological_conditions
,Biological_entity,"life 2,
nature 1,
organism 1,
wildlife 1","être vivant 1,
micro-organisme 1,
nature 1,
organisme 1,
vie 1,
vivant 2",,,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Biological_entity,"Something that can be alive, or have naturally occuring biological processes and functions.",Biological_entity,ExactMatch,"Biological_entity :Is inherited by: Animals
Biological_entity :Is inherited by: Plants
Biological_entity :See also: Human_entity
Biological_entity :Has property: Biodiversity
Biological_entity :Is used by: Biological_conditions
Biological_entity :Is used by: Grouping_by_number
Biological_entity :Is used by: Biological_classification"
,Birth_scenario,,,,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Birth_scenario,,Birth_scenario,ExactMatch,"Birth_scenario :Is perspectivized in: Being_born
Birth_scenario :Is perspectivized in: Giving_birth"
,Breeding,"aquaculture 1,
husbandry 1,
mariculture 1","aquaculture 1,
élevage 1.1,
élever 4",pecuária 1,,,Agent Patient Environment,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Breeding,,?,NoMatch,Breeding :Is subframe of: Agriculture
,Bringing,"carry 1,
transportation 1.1","transport 2,
transporter 2",,,,Instrument Theme Source Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Bringing,The Instrument makes a Theme move from a Source to a Destination.,Bringing,?,"Use_vehicle :Is perspectivized in: Bringing
Bringing :See also: Vehicle_for_transportation"
,Burning_into_ashes,"incinerate 1,
incineration 1","incinération 1,
incinérer 1",,,,Agent Patient Result,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Burning_into_ashes,An Agent uses fire to transform a Patient into a Result.,?,NoMatch,Burning_into_ashes :Is subframe of: Removing
,Businesses,,compagnie 1,,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Businesses,"A commercial venture run by an Agent that exploits, transforms or produces a Patient in order to sell it to a consumer.",Businesses,?,Businesses :See also: Human_by_activity
,Calculation,"calculate 1a,
calculate 1b,
calculation 1","calculer 1a,
calculer 1b",,计算 1b,,Agent Patient Method,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Calculation,An Agent determines the extent or importance of a Patient using a Method.,?,NoMatch,"Calculation :Is subframe of: Predicting_scenario
Calculation :Precedes: Predicting"
,Capturing,"capture 1,
capture 1.1,
sequester 1,
sequestration 1","capture 1,
capturer 1,
piégeage 2,
piéger 2",,,,Agent Patient Location,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Capturing,An Agent places a Patient in a Location in order to prevent the Patient from being in the atmosphere and contribute to the greenhouse effect.,?,NoMatch,Capturing :Precedes: Storing
,Catastrophe,disaster 1,catastrophe 1,,灾难 1,,Patient Cause,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Catastrophe,A Cause affects a Patient negatively.,Catastrophe,ExactMatch,
,Catching_with_gear,"fish 3,
fishing 1,
longline 1.1,
trap 2,
trapping 2","pêche 1,
pêcher 1,
pêches 1",,,,Agent Patient Instrument,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Catching_with_gear,An Agent attempts to catch a Patient with an Instrument for the purpose of using the Patient as a consumer product.,?,NoMatch,Taking_captive :Is inherited by: Catching_with_gear
,Categorization,designate 1,désigner 1,,,,Agent Patient State,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Categorization,An Agent assigns a label standing for a State to a Patient.,Categorization,TooSpecific,
,Causation,consequence 1,conséquence 1,,后果 1,,Cause Patient Result,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Causation,A Cause causes a Result on Patient.,Causation,?,
,Cause_balance,,"équilibrer 1,
stabilisation 1b,
stabiliser 1b",,,,Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_balance,,?,NoMatch,"Balancing :Is inchoative of: Cause_balance
Cause_balance :Is causative of: Balancing"
,Cause_change_into_reusable_material,"compost 2,
composting 1","compostage 1,
composter 1,
transformer 2",,,compostar 1,Agent Patient Result,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_change_into_reusable_material,An Agent causes a Patient to undergo a change into a Result.,?,NoMatch,"Cause_change_into_reusable_material :Is subframe of: Recover
Cause_change_into_reusable_material :Precedes: Reuse"
,Cause_change_natural_feature,"deplete 1,
depletion 1,
erode 1b","appauvrir 1b,
appauvrissement 1,
éroder 1b",,,,Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_change_natural_feature,An Agent or a Cause changes the consistency of a Patient from its initial state to a result.,?,NoMatch,"Cause_change_of_state :Is inherited by: Cause_change_natural_feature
Cause_change_natural_feature :Is causative of: Change_natural_feature
Change_natural_feature :Is inchoative of: Cause_change_natural_feature
Cause_change_natural_feature :See also: Damaging"
,Cause_change_of_impact,"abate 1,
abatement 1,
accelerate 1b,
amplify 1,
intensify 1b,
mitigate 1,
mitigation 1","accélérer 1b,
accentuer 1b,
aggraver 1b,
amplification 1,
amplifier 1,
atténuation 1,
atténuer 1b,
intensifier 1b,
limiter 1,
ralentir 1b,
renforcer 1",,"减弱 1b,
减缓 1b,
减缓 2,
加剧 1b,
加速 1b,
增强 1b,
缓解 1",mitigar 1,Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_change_of_impact,An Agent or a Cause affects the speed or the intensity at which a Patient occurs.,?,NoMatch,"Cause_change_of_state :Is inherited by: Cause_change_of_impact
Cause_change_of_impact :Is causative of: Change_of_impact
Change_of_impact :Is inchoative of: Cause_change_of_impact"
,Cause_change_of_position_on_a_scale,"decrease 1b,
decrease 1b.1,
increase 1b,
reduce 1b","abaisser 1,
accroître 1b,
augmentation 1b,
augmenter 1b,
diminuer 1b,
réduction 1,
réduire 1","aumentar 1b,
aumento 1b,
diminuição 1,
diminuir 1,
redução 1,
reduzir 1","减少 1b,
增加 1b,
降低 1b","disminución 1b,
disminuir 1b,
reducir 1b",Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_change_of_position_on_a_scale,An Agent or a Cause affects the position of a Patient on a scale from a starting point to an endpoint.,Cause_change_of_position_on_a_scale,ExactMatch,"Cause_change_of_state :Is inherited by: Cause_change_of_position_on_a_scale
Cause_change_of_position_on_a_scale :Is causative of: Change_position_on_a_scale
Change_position_on_a_scale :Is inchoative of: Cause_change_of_position_on_a_scale"
,Cause_change_of_state,"alter 1,
alteration 1,
change 1b,
perturbation 1","altération 1,
altérer 1,
bouleversement 1,
bouleverser 1,
changer 1b,
modifier 1b,
perturbation 1,
perturber 1",,改变 1b,cambiar 1b,Agent | Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_change_of_state,"An Agent or a Cause causes a Patient to change, often in a way that alters its normal functioning.",?,NoMatch,"Cause_change_of_state :Is inherited by: Cause_change_natural_feature
Cause_change_of_state :Is inherited by: Cause_change_of_impact
Cause_change_of_state :Is inherited by: Cause_change_of_phase
Cause_change_of_state :Is inherited by: Cause_change_of_position_on_a_scale
Cause_change_of_state :Is inherited by: Cause_temperature_change
Cause_change_of_state :See also: Objective_influence
Cause_change_of_state :Is causative of: Undergo_change_of_state
Undergo_change_of_state :Is inchoative of: Cause_change_of_state"
,Cause_contamination,"contaminate 1b,
pollute 1b","polluer 1b,
pollution 1b.1","poluição 1b.1,
poluir 1b",,,Agent | Cause | Instrument Destination Material,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_contamination,"An Agent, a Cause or an Instrument contributes to the change of composition of a Destination by discharging a Material into the Destiation.",?,NoMatch,"Cause_contamination :Is causative of: Become_contaminated
Become_contaminated :Is inchoative of: Cause_contamination
Cause_contamination :Is causative of: Being_contaminated
Discharge :Precedes: Cause_contamination"
,Cause_motion,propel 1,"propulser 1,
propulsion 1.1,
traction 1.1",,,,Instrument | Means Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_motion,A Means or an Instrument causes a Patient to undergo translational motion.,Cause_motion,?,c :See also: Operate_vehicle
,Cause_temperature_change,"cool 1b,
cooling 1b,
warm 1b,
warming 1b","réchauffement 1b,
réchauffer 1b,
refroidir 1b,
refroidissement 1b",,,calentar 1b,Cause Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_temperature_change,An Cause changes the temperature of a Patient.,Cause_temperature_change ,?,"Cause_change_of_state :Is inherited by: Cause_temperature_change
Cause_temperature_change :Is causative of: Ambient_temperature
Cause_temperature_change :Is causative of: Change_of_temperature
Change_of_temperature :Is inchoative of: Cause_temperature_change"
,Cause_to_become_powered_by_means,"electrification 1,
electrify 1","électrification 1,
électrifier 1",,,,Agent Patient Means,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_to_become_powered_by_means,An Agent causes a Patient to operate with a Means.,?,NoMatch,Cause_to_become_powered_by_means :Is subframe of: Converting
,Cause_to_make_progress,"development 1,
industrialization 1,
urbanization 1","aménagement 1.1,
aménager 1,
développer 1b,
industrialisation 1,
urbanisation 1",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Cause_to_make_progress,An Agent works on a Patient so that it reaches a more advanced and organized state.,Cause_to_make_progress,?,"Human_activity :Is inherited by: Cause_to_make_progress
Cause_to_make_progress :Is causative of: Progression
Progression :Is inchoative of: Cause_to_make_progress"
,Causing_contamination,polluting 1,"acidifiant 1,
contaminant 1,
polluant 1",,,,Material | Cause | Instrument | Agent,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Causing_contamination,,?,NoMatch,
,Ceasing_to_be,"disappear 1,
disappearance 1,
extinction 1,
go extinct","disparaître 1,
disparition 1,
éteindre 1,
extinction 1",,"消失 1,
灭绝 1","desaparecer 1,
desaparición 1,
extinción 1",Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Ceasing_to_be,A Patient ceases to exists.,Ceasing_to_be,?,"Ceasing_to_be :See also: Being_at_risk
Surviving :Precedes: Ceasing_to_be
Ceasing_to_be :Precedes: Become_rejuvenated
Ceasing_to_be :Is subframe of: Cycle_of_existence_scenario"
,Change_natural_feature,"erode 1a,
erosion 1,
retreat 1,
retreat 1.1,
rise 2,
rise 2.1,
thinning 1","amincissement 1,
baisse 1,
élévation 1,
élever 1,
éroder 1a,
érosion 1,
hausse 1,
montée 1,
recul 1,
reculer 1,
retrait 1",,"上升 2,
升高 2,
退缩 1",,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Change_natural_feature,A Patient changes shape of appearance.,?,NoMatch,"Cause_change_natural_feature :Is causative of: Change_natural_feature
Change_natural_feature :Is inchoative of: Cause_change_natural_feature
Change_of_temperature :Precedes: Change_natural_feature"
,Change_of_impact,"accelerate 1a,
acceleration 1,
intensification 1,
intensify 1a","accélération 1,
accélérer 1a,
accentuer 1a,
aggravation 1,
aggraver 1a,
intensification 1,
intensifier 1a,
ralentir 1a,
ralentissement 1",,"减缓 1a,
加快 1,
加速 1a",,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Change_of_impact,The speed at which a Patient occurs changes.,?,NoMatch,"Cause_change_of_impact :Is causative of: Change_of_impact
Change_of_impact :Is inchoative of: Cause_change_of_impact
Change_position_on_a_scale :Is inherited by: Change_of_impact"
,Change_of_phase,"freeze 1,
frost 1,
melt 1a,
melting 1,
thaw 1a,
thawing 1","dégel 1,
dégeler 1a,
fondre 1,
fonte 1,
gel 1,
geler 1",,"消融 1,
融化 1,
融化 1a",,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Change_of_phase,A Patient undergoes a change of phase.,Change_of_phase,ExactMatch,"Change_of_temperature :Precedes: Change_of_phase
Undergo_change_of_state :Is inherited by: Change_of_phase
Change_of_phase :Is inchoative of: Cause_change_of_phase
Change_of_phase :See also: Water_emanating"
,Change_of_temperature,"climate change 1,
cool 1a,
cooling 1a,
warm 1a,
warming 1a","changements climatiques 1,
réchauffement 1a,
réchauffer 1a,
refroidir 1a,
refroidissement 1a",mudanças climáticas 1,"升温 1,
增暖 1,
增温 1,
暖化 1,
降温 1","calentamiento 1a,
calentar 1a",Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Change_of_temperature,The temperature of a Patient changes.,Change_of_temperature,?,"Ambient_temperature :See also: Change_of_temperature
Change_position_on_a_scale :Is inherited by: Change_of_temperature
Change_of_temperature :Is inchoative of: Cause_temperature_change
Cause_temperature_change :Is causative of: Change_of_temperature
Change_of_temperature :Precedes: Change_natural_feature
Change_of_temperature :Precedes: Change_of_phase
Change_of_temperature :See also: Weather_event"
,Change_position_on_a_scale,"decline 1,
decline 1.1,
decrease 1a,
grow 1,
growth 1,
increase 1a,
increase 1a.1,
rise 1","accroissement 1,
accroître 1a,
augmentation 1a,
augmenter 1a,
baisse 1,
baisser 1,
croissance 1,
croître 2,
déclin 1,
décliner 1,
diminuer 1a,
diminution 1a,
élévation 2,
élever 2,
hausse 2",,"上升 1,
下降 1,
减少 1a,
升高 1,
增加 1a,
增多 1,
降低 1a","disminución 1a,
disminuir 1a",Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Change_position_on_a_scale,A Patient changes position on a scale from a starting point to an endpoint.,Change_position_on_a_scale,?,"Undergo_change_of_state :Is inherited by: Change_position_on_a_scale
Change_position_on_a_scale :Is inchoative of: Cause_change_of_position_on_a_scale
Cause_change_of_position_on_a_scale :Is causative of: Change_position_on_a_scale
Change_position_on_a_scale :Is inherited by: Change_of_impact
Change_position_on_a_scale :Is inherited by: Change_of_temperature"
,Climate,climate 1,"climat 1,
microclimat 1",clima 1,气候 1,,Location,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Climate,Ambient conditions of temperature in a given Location., Weather,?,Climate :Is used by: Weather_event
,Collecting,collect 1,"collecte 1,
ramassage 1",,,,Agent Patient Source,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Collecting,An Agent takes a Patient away from a Source.,?,NoMatch,"Collecting :Is subframe of: Managing_waste
Collecting :Precedes: Sorting"
,Contamination,"acidification 1,
acidify 1b,
contaminate 1a,
eutrophication 1,
pollute 1a,
salinization 1","acidification 1,
acidifier 1b,
chloration 1,
contamination 1,
contaminer 1a,
eutrophisation 1,
eutrophiser 1,
polluer 1a,
pollution 1a.1,
salinisation 1",poluir 1a,,,Material Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Contamination,A Material penetrates a Destination and changes the composition of the Destination.,?,NoMatch,"Become_contaminated :Is inchoative of: Contamination
Contamination :Is causative of: Become_contaminated
Contamination :Is causative of: Being_contaminated
Contamination :See also: Substance_by_introduction"
,Converting,"conversion 1,
convert 1,
hybridization 1,
transform 1","conversion 1,
conversion 2,
convertir 1,
hybridation 1,
transformation 1,
transformer 1",,,,Agent | Cause Patient Result,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Converting,An Agent or a Cause causes the Patient to be changed into a Result,?,NoMatch,Cause_to_become_powered_by_means :Is subframe of: Converting
